no;y;x
1;59;12.29
2;64;12.29
3;56;12.29
4;61;12.43
5;74;12.71
6;60;12.71
7;75;12.71
8;63;12.86
9;62;12.86
10;67;12.86
11;66;13
12;66;13
13;62;13.14
14;68;13.14
15;76;13.29
16;66;13.29
17;90;13.43
18;71;13.43
19;75;13.43
20;75;13.43
21;77;13.43
22;77;13.57
23;83;13.57
24;77;13.71
25;78;13.71
26;84;13.86
27;89;13.86
28;88;14
29;80;14
30;80;14
31;88;14.29
32;69;14.29
33;104;14.29
34;90;14.29
35;89;14.43
36;90;14.43
37;88;14.43
38;98;14.57
39;94;14.57
40;84;14.71
41;100;14.71
42;84;14.71
43;86;14.71
44;82;14.71
45;87;14.86
46;93;15
47;107;15
48;105;15
49;93;15.14
50;88;15.14
51;101;15.29
52;88;15.29
53;100;15.29
54;96;15.43
55;112;15.43
56;102;15.57
57;101;15.71
58;87;15.71
59;104;15.86
60;115;15.86
61;121;16
62;122;16.14
63;102;16.14
64;109;16.14
65;113;16.29
66;115;16.29
67;114;16.29
68;111;16.29
69;116;16.43
70;112;16.43
71;106;16.43
72;124;16.43
73;98;16.43
74;113;16.57
75;115;16.57
76;123;16.71
77;107;16.71
78;126;16.71
79;106;16.71
80;123;16.86
81;128;16.86
82;115;17
83;112;17
84;110;17
85;106;17
86;114;17
87;131;17.14
88;122;17.14
89;121;17.29
90;117;17.29
91;117;17.43
92;120;17.43
93;125;17.43
94;147;17.57
95;118;17.57
96;136;17.57
97;134;17.57
98;134;17.71
99;151;17.71
100;116;17.71
101;132;17.71
102;108;17.86
103;122;17.86
104;126;17.86
105;129;17.86
106;124;18
107;131;18
108;132;18
109;139;18.14
110;129;18.14
111;137;18.14
112;115;18.29
113;128;18.29
114;130;18.29
115;130;18.29
116;140;18.29
117;135;18.29
118;121;18.43
119;151;18.43
120;143;18.57
121;151;18.57
122;131;18.57
123;141;18.71
124;127;18.86
125;147;19
126;136;19
127;134;19
128;139;19.14
129;141;19.14
130;154;19.29
131;152;19.29
132;148;19.29
133;152;19.29
134;155;19.29
135;153;19.29
136;148;19.43
137;142;19.43
138;145;19.43
139;149;19.43
140;147;19.57
141;133;19.57
142;148;19.57
143;150;19.57
144;150;19.57
145;142;19.57
146;154;19.57
147;153;19.71
148;152;19.86
149;150;19.86
150;166;20
151;144;20
152;151;20
153;166;20
154;154;20
155;141;20.14
156;144;20.29
157;168;20.29
158;159;20.29
159;148;20.29
160;174;20.43
161;150;20.43
162;172;20.57
163;167;20.57
164;165;20.57
165;147;20.71
166;168;20.71
167;153;20.71
168;162;20.71
169;163;20.71
170;167;20.71
171;158;20.86
172;181;21
173;182;21
174;177;21
175;154;21.14
176;169;21.14
177;173;21.14
178;156;21.14
179;161;21.29
180;149;21.29
181;155;21.29
182;160;21.29
183;175;21.43
184;167;21.43
185;186;21.43
186;171;21.57
187;157;21.57
188;163;21.57
189;159;21.57
190;167;21.57
191;178;21.86
192;163;21.86
193;171;21.86
194;164;21.86
195;158;22
196;184;22
197;180;22
198;165;22.14
199;165;22.14
200;171;22.29
201;176;22.29
202;180;22.43
203;170;22.43
204;180;22.43
205;170;22.43
206;184;22.43
207;176;22.57
208;170;22.57
209;161;22.57
210;182;22.71
211;198;22.71
212;159;22.71
213;172;22.71
214;182;22.86
215;191;22.86
216;191;22.86
217;197;23
218;182;23
219;185;23
220;178;23
221;185;23.14
222;184;23.14
223;200;23.14
224;194;23.29
225;195;23.29
226;183;23.29
227;199;23.43
228;199;23.43
229;192;23.43
230;187;23.43
231;195;23.57
232;198;23.57
233;183;23.57
234;177;23.57
235;190;23.71
236;186;23.86
237;199;23.86
238;200;24
239;183;24
240;199;24
241;206;24.14
242;205;24.14
243;189;24.14
244;190;24.29
245;197;24.29
246;203;24.43
247;205;24.43
248;190;24.43
249;221;24.43
250;193;24.43
251;200;24.57
252;194;24.57
253;209;24.71
254;202;24.71
255;249;24.71
256;207;24.71
257;183;24.71
258;180;24.86
259;224;24.86
260;192;24.86
261;203;25
262;200;25
263;194;25
264;202;25
265;203;25
266;194;25
267;195;25
268;198;25
269;208;25.14
270;211;25.14
271;218;25.14
272;210;25.14
273;216;25.14
274;200;25.29
275;214;25.43
276;205;25.43
277;214;25.43
278;203;25.57
279;205;25.71
280;203;25.86
281;210;25.86
282;220;25.86
283;223;26
284;223;26
285;210;26
286;204;26
287;219;26.14
288;226;26.14
289;228;26.29
290;214;26.29
291;227;26.29
292;235;26.57
293;230;26.57
294;217;26.57
295;214;26.57
296;227;26.71
297;221;26.71
298;215;26.71
299;223;26.71
300;223;26.71
301;236;26.71
302;238;26.86
303;233;26.86
304;214;27
305;224;27
306;240;27
307;222;27
308;224;27.14
309;218;27.14
310;209;27.14
311;234;27.29
312;216;27.29
313;246;27.43
314;243;27.43
315;234;27.57
316;257;27.57
317;231;27.71
318;238;27.71
319;231;27.71
320;255;27.71
321;222;27.71
322;216;27.71
323;232;27.86
324;249;27.86
325;237;27.86
326;255;27.86
327;232;27.86
328;228;28
329;239;28.14
330;219;28.14
331;239;28.14
332;259;28.14
333;244;28.14
334;229;28.14
335;234;28.14
336;248;28.29
337;251;28.29
338;249;28.29
339;234;28.29
340;258;28.43
341;280;28.43
342;253;28.43
343;249;28.86
344;244;28.86
345;266;28.86
346;259;29
347;258;29
348;262;29
349;253;29
350;249;29.14
351;255;29.29
352;253;29.43
353;252;29.43
354;237;29.43
355;259;29.43
356;247;29.57
357;248;29.57
358;252;29.71
359;269;29.71
360;228;29.71
361;244;29.86
362;265;29.86
363;258;29.86
364;245;29.86
365;243;30
366;263;30
367;249;30
368;289;30.14
369;258;30.14
370;257;30.14
371;243;30.14
372;240;30.14
373;249;30.29
374;242;30.29
375;250;30.29
376;258;30.43
377;235;30.57
378;273;30.57
379;265;30.57
380;259;30.57
381;273;30.57
382;264;30.71
383;268;31
384;268;31
385;271;31.14
386;263;31.14
387;288;31.14
388;276;31.14
389;268;31.29
390;257;31.29
391;308;31.43
392;287;31.43
393;274;31.43
394;320;31.43
395;270;31.43
396;274;31.57
397;286;31.57
398;266;31.71
399;273;31.71
400;272;31.86
401;284;31.86
402;258;31.86
403;283;31.86
404;302;31.86
405;257;31.86
406;301;31.86
407;282;32
408;283;32
409;290;32
410;307;32
411;284;32.14
412;269;32.14
413;271;32.14
414;287;32.29
415;273;32.29
416;280;32.29
417;267;32.43
418;285;32.43
419;277;32.43
420;283;32.43
421;283;32.57
422;285;32.71
423;317;32.71
424;295;32.71
425;254;32.71
426;287;32.71
427;290;32.86
428;268;32.86
429;290;32.86
430;306;33
431;284;33
432;290;33
433;289;33.14
434;307;33.14
435;309;33.14
436;336;33.14
437;278;33.29
438;307;33.29
439;323;33.29
440;244;33.43
441;269;33.57
442;269;33.57
443;321;33.71
444;315;33.71
445;296;33.71
446;304;33.71
447;314;33.86
448;326;33.86
449;295;33.86
450;292;34.14
451;301;34.14
452;319;34.29
453;288;34.29
454;291;34.29
455;297;34.29
456;285;34.43
457;311;34.43
458;304;34.43
459;317;34.43
460;307;34.43
461;300;34.43
462;286;34.43
463;326;34.43
464;296;34.57
465;303;34.57
466;301;34.71
467;318;34.71
468;289;34.71
469;286;35
470;312;35
471;313;35.14
472;305;35.14
473;333;35.14
474;302;35.14
475;313;35.14
476;326;35.29
477;303;35.29
478;330;35.29
479;344;35.29
480;311;35.43
481;303;35.57
482;319;35.57
483;328;35.71
484;311;35.71
485;332;35.86
486;270;35.86
487;339;35.86
488;312;35.86
489;315;36
490;320;36
491;305;36
492;316;36
493;302;36
494;332;36
495;311;36.14
496;311;36.14
497;320;36.14
498;299;36.29
499;337;36.29
500;327;36.43
501;351;36.43
502;306;36.43
503;352;36.43
504;326;36.43
505;334;36.57
506;362;36.57
507;333;36.57
508;313;36.57
509;319;36.71
510;321;36.86
511;283;36.86
512;350;37
513;335;37
514;336;37
515;329;37.14
516;324;37.14
517;356;37.29
518;321;37.29
519;326;37.29
520;329;37.43
521;312;37.57
522;312;37.71
523;283;37.71
524;389;37.71
525;341;37.86
526;337;37.86
527;319;37.86
528;314;38
529;322;38.14
530;343;38.14
531;315;38.29
532;345;38.29
533;312;38.29
534;359;38.29
535;326;38.43
536;357;38.43
537;341;38.43
538;356;38.57
539;335;38.57
540;351;38.57
541;322;38.57
542;302;38.71
543;336;38.71
544;362;38.71
545;342;38.86
546;340;38.86
547;344;38.86
548;336;39
549;348;39
550;352;39
551;342;39
552;325;39.14
553;329;39.14
554;323;39.14
555;370;39.29
556;394;39.29
557;314;39.57
558;355;39.71
559;379;39.71
560;404;39.86
561;331;39.86
562;338;40
563;380;40.14
564;345;40.14
565;392;40.29
566;377;40.29
567;352;40.43
568;358;40.43
569;382;40.71
570;391;40.71
571;357;40.71
572;334;40.86
573;356;40.86
574;387;40.86
575;363;40.86
576;377;40.86
577;378;41
578;387;41
579;363;41.14
580;383;41.14
581;367;41.14
582;372;41.14
583;359;41.14
584;347;41.29
585;368;41.43
586;371;41.57
587;383;41.57
588;359;41.71
589;378;41.71
590;355;41.71
591;370;41.86
592;293;41.86
593;347;41.86
594;356;41.86
595;351;41.86
596;344;42
597;379;42
598;360;42
599;355;42
600;373;42
601;352;42
602;350;42
603;353;42
604;378;42.14
605;373;42.14
606;343;42.14
607;390;42.14
608;384;42.14
609;351;42.29
610;342;42.43
